image_path,plate_text
images/50500f28_20250715_113006_448.50.jpg,448.50
images/35e36e6d_20250715_193248_29-E2.jpg,29-E2
images/8722ac1d_20250715_131334_30K-749.18.jpg,30K-749.18
images/91ca356c_20250715_190839_36A.jpg,36A
images/5b5165ad_20250715_083932_285.65.jpg,285.65
images/e6801133_20250715_170011_14155.jpg,14155
images/b349cf2b_20250715_150917_30K-110.95.jpg,30K-110.95
images/91db8d46_20250715_085913_30L.jpg,30L
images/b34d8b5b_20250715_102336_30G-728.52.jpg,30G-728.52
images/e6ebb087_20250715_115213_606.49.jpg,606.49
images/408a8d82_20250715_173228_30L.jpg,30L
images/415ff2a9_20250715_155909_42605.jpg,42605
images/52f70f18_20250715_153325_30L.jpg,30L
images/85bec451_20250715_133254_29C-609.99.jpg,29C-609.99
images/b6bdc9ab_20250715_095032_29-D2.jpg,29-D2
images/b394960e_20250715_070407_17-B4.jpg,17-B4
images/36e13ad2_20250715_123409_29-D1.jpg,29-D1
images/9a696cac_20250715_122314_30M.jpg,30M
images/3e53c530_20250715_195116_301.jpg,301
images/3a1dafb2_20250715_090624_30K-993.99.jpg,30K-993.99
images/992208c2_20250715_141455_30M-322.99.jpg,30M-322.99
images/4611c62b_20250715_163450_21112.jpg,21112
images/92581212_20250715_152325_99A-226.23.jpg,99A-226.23
images/926d588f_20250715_102248_19F.jpg,19F
images/e4569dcf_20250715_093128_549.17.jpg,549.17
images/38ce100f_20250715_081433_88A.jpg,88A
images/85ffd6d8_20250715_114917_36-F1.jpg,36-F1
images/8d5c602a_20250715_100530_558.29.jpg,558.29
images/9c0cc107_20250715_141705_29A-205.68.jpg,29A-205.68
images/b3242ec9_20250715_074841_531.05.jpg,531.05
images/e1f1ad39_20250715_145732_697.94.jpg,697.94
images/4f337b22_20250715_183506_34A-340.90.jpg,34A-340.90
images/9ad4410e_20250715_080116_29B.jpg,29B
images/b1150b55_20250715_121609_90C.jpg,90C
images/b18da6e5_20250715_092323_30K-426.11.jpg,30K-426.11
images/5bc68969_20250715_111014_30577.jpg,30577
images/3e0d87ad_20250715_115759_18A.jpg,18A
images/5c525302_20250715_112546_30G.jpg,30G
images/9e5e3518_20250715_084134_730.08.jpg,730.08
images/0925db9e_20250715_143149_125.77.jpg,125.77
images/4c18d986_20250715_194633_30G.jpg,30G
images/98cc3b62_20250715_155119_99A.jpg,99A
