epoch,cat_acc,loss,plate_acc,plate_len_acc,top_3_k,val_cat_acc,val_loss,val_plate_acc,val_plate_len_acc,val_top_3_k
0,0.17889809608459473,4.562593936920166,0.0,0.020489387214183807,0.29634541273117065,0.06273508816957474,4.901690483093262,0.0,0.007100113667547703,0.18403781950473785
1,0.4150398075580597,2.3459746837615967,0.0,0.02978837490081787,0.5824819803237915,0.24316345155239105,2.995711088180542,0.0,0.013796542771160603,0.42442062497138977
2,0.5272166132926941,1.676986813545227,0.000147405662573874,0.21450898051261902,0.6903973817825317,0.4169856607913971,2.127671957015991,0.0,0.04179331287741661,0.6176339387893677
3,0.6568846106529236,1.1104403734207153,0.041273586452007294,0.6590791344642639,0.804326593875885,0.5716755986213684,1.523016095161438,0.0,0.31100398302078247,0.7409408688545227
4,0.7274826765060425,0.8328281044960022,0.17013809084892273,0.785517692565918,0.8837946057319641,0.6588762998580933,1.0759546756744385,0.0022321429569274187,0.4642857015132904,0.8362438082695007
5,0.7915406823158264,0.626438319683075,0.2490551769733429,0.8844642043113708,0.9324963688850403,0.7389532327651978,0.7790986895561218,0.10681040585041046,0.6557038426399231,0.9098807573318481
6,0.8333081603050232,0.5011352300643921,0.2989404499530792,0.9123238325119019,0.9539913535118103,0.8057917356491089,0.5622716546058655,0.24862273037433624,0.8791793584823608,0.9503751397132874
7,0.8853031396865845,0.36592182517051697,0.4305381774902344,0.9216352701187134,0.9711587429046631,0.8578624129295349,0.40800049901008606,0.33840709924697876,0.9276690483093262,0.9739291071891785
8,0.9217272996902466,0.2596932649612427,0.5742409825325012,0.9225196838378906,0.981681764125824,0.9111180305480957,0.27446284890174866,0.4966517984867096,0.9474496841430664,0.9846314787864685
9,0.941845715045929,0.19951435923576355,0.6642631888389587,0.9286982417106628,0.9868291020393372,0.9480504989624023,0.17925503849983215,0.6889722943305969,0.9578980207443237,0.9903020262718201
10,0.9552196860313416,0.16129644215106964,0.7267880439758301,0.9353315234184265,0.9904510974884033,0.9659646153450012,0.1263325810432434,0.7889912724494934,0.9590140581130981,0.9930518865585327
11,0.9617880582809448,0.1359291672706604,0.7594943642616272,0.9416273832321167,0.9920887351036072,0.9749026298522949,0.0966428592801094,0.8433700203895569,0.9634783864021301,0.9954051375389099
12,0.9661567807197571,0.12059205770492554,0.7848480939865112,0.944832980632782,0.9939005970954895,0.9801362752914429,0.08009237796068192,0.8717705011367798,0.9668265581130981,0.9962671399116516
13,0.9687532186508179,0.10770315676927567,0.7990043759346008,0.9463194608688354,0.9948371052742004,0.9831188917160034,0.06900370121002197,0.8971314430236816,0.9668265581130981,0.9972810745239258
14,0.9724845886230469,0.09716333448886871,0.8208701610565186,0.9453427195549011,0.9955539107322693,0.9853913187980652,0.06240462511777878,0.9082921743392944,0.9716945290565491,0.997839093208313
15,0.9745196104049683,0.08987139165401459,0.8350708484649658,0.955845832824707,0.9960119128227234,0.9863958358764648,0.057547248899936676,0.9161046743392944,0.9728106260299683,0.997839093208313
